Title,Study,Decision-Making Time,Expertise Level of User,QA Score,Industry,Subcategory,AI Type - Intervention,Comparison,Was explainability/interpretability considered?,XAI Type,Decision Making - (Intervention),Deployed?,Data Type,Output Feature,Safety Outcome,Was regulation considered?,Regulatory Oversight Body (if any),Key Findings,Feature Study?,Full Text Review Notes,Analysis Notes,DOI,Published Year,Country
The Artificial Intelligence Clinician learns optimal treatment strategies for sepsis in intensive care,Komorowski 2018,Minutes-Hours,Expert,95.24,Medical,Treatment Plan,"Random Forest, Reinforcement Learning",Human Evaluation,Yes,Feature Importance,Augmented Human Decision-Making,No,"Clinical - Condition Onset Details, Clinical - Physiological, Demographic, Medical Records",Outcomes of treatment strategies.,Survival,No,Non-Applicable,"“Our AI Clinician was built and validated on two large nonoverlapping ICU databases containing data routinely collected from adult patients in the United States. The Medical Information Mart for Intensive Care version III (MIMIC-III)18 was used for model development, and the eICU Research Institute Database (eRI) for  model testing.”
”We envision that this system would be used in real-time, with patient data obtained from different streams being fed into electronic health record software fitted with our algorithm, which would suggest a course of action. Physicians will always need to make subjective clinical judgments about treatment strategies, but computational models can provide additional insight about optimal decisions, avoiding targeting short-term resuscitation goals and instead following trajectories toward longer-term survival”
”Using a random forest classification model, we gained some insight into the model representations and interpretability by estimating the relative importance of the model parameters for predicting the administration of both medications (Supplementary Fig. 2). This confirmed that the decisions suggested by the AI Clinician were clinically interpretable and relied primarily on sensible clinical and biological parameters.”",Yes,"Nataly Panczyk (2026-01-24 06:30:47)(Select): this paper was way ahead of its time
note: random forest classification used for flagging interpretability;","possibly one of the best papers in this review, and it’s from 2018",10.1038/s41591-018-0213-5,2018,United Kingdom
Bayesian deep learning for aircraft hard landing safety assessment,Kong 2022,Seconds or Less,Expert,85.71,Aviation,Accidents,LSTM,"Other Deep Learning, Other Studies",No,Non-Applicable,Static ML-Informed Benchmark,No,"Mechanical Measurements, Mechanical Sensor",Hard Landing.,Aircraft Accident,No,Non-Applicable,“Model performance is compared with different numbers of sorted features and the results provide insight on factors that lead to hard landing.”,No,"Nataly Panczyk (2026-01-24 06:50:51)(Select): after full text review, hard landing problem is defintely safety critical ; Leo Tunkle (2026-01-08 02:09:18)(Screen): Ambiguous based on abstract whether the ""hard landing problem"" is directly used in safety;","Dataset used is Dashlink, which is the discovery in aeronautics systems health, which is managed by NASA.",10.1109/TITS.2022.3162566,2022,"China, United States"
Toward a responsible future: recommendations for AI-enabled clinical decision support,Labkoff 2024,N/A,Expert,100,Medical,Roadmap/Perspective,Non-Specific,Non Applicable,Yes,Non-Specific,Augmented Human Decision-Making,Non Applicable,Interviews,Recommendations for safe development of clinical decision support systems.,Sparing lives,Yes,"AMIA, EMA, FDA, WHO","“The lack of established methodologies for preand post-deployment evaluation of AI tools regarding crucial attributes such as transparency, performance monitoring, and adverse event reporting makes this situation challenging”
”Achieving responsible AI-CDS systems requires a collective effort from many healthcare stakeholders. This involves implementing robust safety, monitoring, and transparency measures while fostering innovation. Future steps include testing and piloting proposed trust mechanisms, such as safety reporting protocols, and establishing best practice guidelines.”
”Governance of these interconnected issues requires multipronged initiatives around transparency, training, and infrastructure from developers, regulators, and healthcare delivery organizations. The key findings are shown in Table 1 and can be grouped into 4 primary domains: (1) To build safe and trustworthy systems by creating a systematic approach to a “nutrition label”; (2) Validation and verification (ie, certification of AI-CDS systems)—create a systematic approach to testing and validation; (3) Safety monitoring and reportingthe creation of an AI-CDS reporting center for adverse events; and (4) Documentation and end-user training—provide comprehensive and certified training for professional and lay users of AI-CDS.”",Yes,Nataly Panczyk (2026-02-04 07:54:34)(Select): Discussion group that became a formalized analysis on what AI should look like in clinical settings plus recommendations to developers and regulators. This is a really informative one;,"Notes that the introduction of LLMs in 2022 sparked interest in integrating AI into clinical decision support systems. Identifies a list of key challenges that were determined by the focus group. This image is pasted below. Keeping track of health records and patient documentation was raised as a major challenge. Recommends that all stakeholders including clinical, technical, operational, and end users in the community are involved in the problem definition, validation, and deployment planning through the AI development cycle. States that AI systems should be developed by diverse teams so that different perspectives are represented during the design process. Proposes a unique AI identifier label which is sort of like a nutrition label or a prescription label for each individual AI system used in a medical context.",10.1093/jamia/ocae209,2024,International Collaboration
The strange case of dr. Watson: Liability implications of ai evidence-based decision support systems in health care,Lagioia 2020,N/A,N/A,95.24,Medical,Legal,Non-Specific,Human Evaluation,Yes,Non-Specific,Non Applicable,Non Applicable,Non Applicable,Save implementation of AI into healthcare systems.,Sparing lives,Yes,EU,"“The question is whether and to what extent statistical evidence provided by  AI CDSS like Watson – referring to probabilities or statistical relationships  between certain symptoms and diagnoses or between specific treatments and  recovery – is sufficient to provide an exhaustive explanation. The  explainability of AI systems is required as well under Articles 13 and 14 of the  European General Data Protection Regulation (GDPR), according to which  'meaningful information about the logic involved, as well as the significance  and the envisaged consequences of such processing' is to be provided when  decision-making is automated.”
“In particular, the argument is made that a new  shared decision-making authority model shall be adopted, in line with the analysis of  the task–responsibility allocation. It is also suggested that the level of automation  should be taken into account in classifying these systems under the European  regulations on medical device software. This classification may indeed affect not only  the certification procedures but also the allocation of liability.”
”Such expert  systems are typically based on classical procedural algorithms. The first  examples were MYCIN and ONCOCIN, both developed at Stanford  University in the early 1980s.”
”As a result, AI-based CDSS, opaque by their nature,26 enable so-called blackbox medicine, since grounds for decisions are at least partly unknown and  unknowable.27 As will be discussed in section V, these characteristics raise  new issues, in particular with regard to AI transparency, trustworthiness and  accountability.28 This complicates the possibility of discovering the reasons  behind AI evaluations and decisions and thus establishing the causes of  potential failures in the diagnosis and treatment process.”",Yes,"Nataly Panczyk (2026-02-04 07:59:05)(Select): legal and regulatory analysis of AI decision support in health care, would be good to compare to other regulatory framework papers;","They argue that as life expectancy increases, the percentage of the world's older population, like over the age of 60, will also increase and that will cause a shortage of medical personnel available to treat these patients. They suggest that artificial intelligence is usually considered part of the solution to this problem. Raises unpredictability by design as a potential issue of AI in healthcare systems.",10.2924/EJLS.2019.028,2020,Italy
Discrepancy between perceptions and acceptance of clinical decision support Systems: implementation of artificial intelligence for vancomycin dosing,Liu 2023,Minutes-Hours,Expert,95.24,Medical,Pharmacology,CDSS Built-In,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,Yes,Interviews,Willingness to use CDSS for vancomycin dosing,Dosimetric Accuracy,No,Non-Applicable,"“In 88 (85%) cases, the pharmacists suggested a different dosing regimen from the CDSS recommendation (40 cases with lower dosage suggestions and 48 cases with higher dosage suggestions). However, when the  CDSS recommendations were revealed, most pharmacist decisions (69/88, 78%) did not adjust the dosing regimen. This was despite generally a positive attitude toward CDSS with comments like ""a great project, and it would be really helpful and useful."" Others endorsed how CDSS could prompt them to double-check their decision, which could help them make more informed and thoughtful decisions. Still, few were enthusiastic about modifying their previously recommended doses. The provided rationales for their decisions included a distrust and lack of understanding of the justification for the CDSS recommendations, concerns related to the lack of dynamic evaluation or in-depth analysis, incomplete integration of all clinical data, and lack of availability of risk index along with the recommendation”",Yes,Nataly Panczyk (2026-02-04 08:31:08)(Select): qualitative study with pharmacist interviews on trusting CDSS recommendations and what aspects of the AI enabled them to trust it;,"this is a really useful study and we could see how it would translate to NPP operators or really specialists in any field who are asked to use AI to support their professional decision-making. it's clear that the pharmacists are interested in and supportive of the project and see ""in theory"" how it could be beneficial. However they are reluctant to trust its outputs for a variety of reasons most of which stemming back to a lack of understanding on why the AI suggested a different dose than they did. This is a common theme in qualitative papers that if the specialist can't ""argue"" with the AI then they have no reason to accept its critique. That which can be asserted without evidence can be dismissed without evidence.

Explainability is not mentioned here explicitly, but it’s definitely referenced and something that would’ve made a difference to the pharamacists in this study.",10.1186/s12911-023-02254-9,2023,United States
A physics-informed attention model for integrated driving risk assessment,Lu 2025,Seconds or Less,General Public,90.48,Autonomous Vehicles,Accidents,PINN,Other Deep Learning,Yes,Rationale for Certain Models,Human in the Loop,No,"Driving Scenes/Scenarios, Synthetic",Collision time and velocity,Sparing lives,No,Non-Applicable,"“Overall, the proposed model shows better adaptability in safety–critical scenarios, characterized by its capacity to accurately predict IDR with high temporal efficiency. Due to the prediction stability and broad applicability, PIRAM can precisely identify potential threats while maintaining sufficient response time for implementing protective measures under various conditions.”
”afety-critical scenarios involve time-critical decision-making with severe consequences, presenting challenges to both prediction stability and accuracy. However, traditional data-driven models have difficulty in interpreting outlier predictions, potentially leading to critical errors in decision-making (Shen et al., 2024). This type of “black box” prediction method, which relies solely on data distribution patterns without interpretability, poses significant challenges for practical application, particularly in safety–critical contexts where improving the transparency and comprehensibility of the method is essential (Huang et al., 2025). To address these limitations, physics-informed neural networks (PINNs) have emerged as a promising alternative (Raissi et al., 2019). By incorporating known physical constraints into predictions, PINNs maintain reliable predictive performance even beyond the training domain, significantly enhancing prediction stability, which makes them particularly well-suited for driving risk quantification (Geng et al., 2023).”",No,Nataly Panczyk (2026-02-04 08:35:04)(Select): mentions interpretability as important for real time automated driving risk assessment. probably one of the more useful AV studies we’ve seen;,"The goal here is to use a physics-informed neural network to predict collision time and velocity if a certain decision is made, and then to create a risk score based on those values using the decision probability (collision time) and predicted severity (velocity). 
The PINN was compared against CNN, GRU, XGBoost, and LSTM. ",10.1016/j.aap.2025.108266,2025,China
Legal decision-making for highway automated driving,Ma 2023,Seconds or Less,General Public,85.71,Autonomous Vehicles,Legal,Model Predictive Control,Other Deep Learning,No,Non-Applicable,Autonomous,No,Driving Scenes/Scenarios,Legal compliance,Sparing lives,Yes,Chinese Traffic Law,"“current autonomous vehicles prioritize safety and collision avoidance primarily in their decision-making and planning, which will lead to misunderstandings and distrust from human drivers and may even result in accidents in mixed traffic flow.” 
”Finally, the proposed method is evaluated on the DJI AD4CHE highway dataset under four typical highway scenarios: speed limit, following distance, overtaking, and lane-changing. The results indicate that the proposed method increases the vehicle’s overall compliance rate from 13.85% to 84.46%, reduces the proportion of active violations to 0%, and only slightly decreases the vehicle’s traffic efficiency by 2.7%, demonstrating its effectiveness.”",No,"Nataly Panczyk (2026-02-04 13:18:52)(Select): this is mostly a methods paper which is “how to get AVs to abide by traffic laws while moving (overtaking, passing, etc.)” but doesn’t really tell us much beyond the method itself, which sort of de-emphasizes safety to focus on traffic violations. raises the question— should you train the AI to abide by the law or prioritize a safe outcome? how do you tell it when to choose? relate to cars passing bikers too close because they won’t cross the line even when no cars are coming;","This article focuses so heavily on legal compliance, I actually think the argument is misplaced. They’re goal is to focus on “dynamic traffic laws”, like following distance and overtaking speed. But, their entire research rests on the assumption that humans will interact better with or “more safely” with autonomous vehicles if they follow all rules of the road. But they don’t consider that most human drivers would probably prioritize safety over arbitrary rule following? ",10.1109/TIV.2023.3318214,2023,China
Reimagining criminal liability in the age of artificial intelligence: Toward a comparative and reform-oriented legal framework,Maskur 2025,N/A,N/A,100,Ethics,Legal,Non-Specific,Human Evaluation,Yes,Non-Specific,Autonomous,Non Applicable,Non Applicable,Criminal liability as a result of AI-based decision-making,Survival,Yes,Various Jurisdictions,"“Globally, AI-related incidents with legal implications are on the rise. In 2023, the European5 Commission reported over 1,200 documented cases involving algorithmic decision-making that led to harm or discrimination, ranging from autonomous vehicle accidents to biased credit scoring systems.6 In the United States, the National Highway Traffic Safety Administration (NHTSA) recorded 736 crashes involving vehicles operating with advanced driver-assistance systems (ADAS) between July 2022 and June 2023, raising questions about liability attribution when human oversight is minimal.”

”Criminal law typically hinges on two foundational elements: actus reus (the physical act) and mens rea (the mental intent). However, AI systems—especially those powered by machine learning—operate without consciousness, intent, or moral reasoning, making it difficult to apply these.”

”The issue of legal personhood also emerges. While corporations can be held criminally liable in many jurisdictions, AI systems are not recognized as legal persons. This creates a gap in accountability, especially when AI systems act independently or evolve beyond their initial programming. Some scholars have proposed the concept of “electronic personhood” for AI, but this remains controversial and largely untested in court.”
”In the absence of federal legislation specifically governing AI-related harm, courts have turned to existing doctrines such as product liability, negligence, and corporate criminal responsibility to adjudicate cases.”",Yes,"Nataly Panczyk (2026-02-04 13:07:41)(Select): this should go with the other legal papers, but does an especially good job of summarizing the differences in international existing legal frameworks and regulations for decision-making AI;","-The FTC issued enforcement actions against several companies for deploying biased AI systems that violate anti-discrimination laws
-The EU is taking a proactive approach to AI regulation and the US is taking a reactive approach. This sets the US up for accountability loopholes and flaws in the system when things go wrong
-Japan follows as “soft law” system",10.15294/jllr.v6i4.35540,2025,"India, Indonesia"
Patient safety and quality improvement: Ethical principles for a regulatory approach to bias in healthcare machine learning,McCradden 2020,N/A,Expert,90.48,Medical,"Ethics, Regulatory",Non-Specific,Human Evaluation,Yes,Non-Specific,Non Applicable,Non Applicable,Non Applicable,Regulatory recommendations to improve bias in healthcare,Sparing lives,Yes,FDA,"“Drawing from the ethical principles underpinning these approaches, we argue that patient safety and quality improvement lenses support the quantification of relevant performance metrics, in order to minimize harm while promoting accountability, justice, and transparency.”
”Automation of some elements of medical practice or clinical decision making poses particular risks given the potential to view such outputs as “objective” due to ML’s “veneer of technical neutrality.”7”
”Emerging evidence suggests that when a clinician is uncertain, they may defer to computerized outputs.20 Reliance on computational objectivity risks encoding and systematizing these biases, exacerbating their effects on marginalized populations.7,8,15 When model errors are unevenly distributed then, so too are the risks”",No,Nataly Panczyk (2026-02-04 13:17:03)(Select): this is an ethics-focused paper but then explains how each ethical standpoint could be implemented in a regulatory way— this is especially useful for radiological AI;,"While this paper is about bias, it’s also about safety. Algorithmic bias compromises model accuracy, which, in a healthcare context, compromises patient safety.

The ethical principles discussed in this paper include:
  • nonmaleficence: the obligation of moral agents, including people in healthcare to promote benefit and avoid harm
  • this can be operationalized as a risk-based classification system (e.g., FDA oversight)
  • relevance: thoughtful and proportionate approaches to regulation with respect to bias
  • accountability: standardizing the collection of patient data can help with this, so can reporting performance metrics
  • transparency: “clear communication of model limitations” + clinical validation steps
  • justice: “ensuring that decisions are not made similarly for groups for whom the tool performs differently”",10.1093/jamia/ocaa085,2020,Canada
Advancing dermatological diagnostics: Interpretable AI for enhanced skin lesion classification,Metta 2024,Days or More,Expert,85.71,Medical,"Diagnostics, Imaging","Autoencoders, GAN, ResNet",Other Studies,Yes,"ABELE, LIME, LORE, SHAP",Augmented Human Decision-Making,Yes,Clinical - Imaging,Lesion classification,Diagnostic,Yes,Non-Specific,"“Our approach to XAI is categorized under generative explanation-based methods. This involves leveraging a generative mechanism to craft visual explanation. Specifically, the Contrastive Explanations Method (CEM) [33] is adept at generating explanations by identifying the minimal necessary or absent regions in an image for a particular classifi”
”Furthermore, a survey involving experts and non-experts in skin cancer and healthcare sectors corroborated the hypothesis that unvalidated explanation methods lack utility.”",No,Nataly Panczyk (2026-02-04 14:14:59)(Select): the interpretability and explainability aspects (though not differentiated) are really useful here and will be important to highlight in the final analysis. also considers regulatory impacts;,Uses contrastive explanations method to demonstrate explainable AI method through ABELE on a residual net system that evaluates and diagnoses skin lesions based on a popular dermatological dataset. Also assesses LIME and LORE as comparisons to ABELE. The explanation model is the GAN/autoencoder.,10.3390/diagnostics14070753,2024,Italy
Bayesian safety validation for failure probability estimation of black-box systems,Moss 2024,Seconds or Less,Trained User,95.24,Aviation,Validation/Testing,Gaussian Process Surrogate,Other Studies,No,Non-Applicable,Autonomous,Yes,Flight Data Recorder,Failure probability estimation for an autonomous flight system.,Aircraft Accident,Yes,FAA,"“This work frames the problem of black-box safety validation as a Bayesian optimization problem and introduces a method that iteratively fits a probabilistic surrogate model to efficiently predict failures.”
”Results show this Bayesian safety validation approach provides a more accurate estimate of failure probability with orders of magnitude fewer samples and performs well across various safety validation metrics.”
”The goals of this work are to 1) estimate the probability of failure for a black-box safety-critical subsystem, 2) focus on sample efficiency using the minimal number of data points, 3) find realistic cases using a model of the environment the system will be operating in, weighting the failures based on their operational likelihood, 4) characterize the entire set of failure regions to identify model weaknesses for further development, and 5) ensure that the entire design space is adequately covered.”
”In this paper, we frame the black-box safety validation problem as a Bayesian optimization problem and introduce BSV to build a probabilistic surrogate model that predicts system failures and uses importance sampling to efficiently estimate the failure probability.”",No,"Nataly Panczyk (2026-02-04 14:40:31)(Select): THIS PAPER; Leo Tunkle (2026-01-07 10:26:12)(Screen): The abstracts claims to be involved in FAA certification, so including;","Uses importance sampling. This work is “currently being used to supplement the FAA certification process of machine learning components for autonomous cargo aircraft.” the Gaussian process surrogate model in this framework is modeled as a logistic function, which can be differentiated and used to find an analytical form for the failure boundary regions. ",10.2514/1.I011395,2024,United States
Insulin dose optimization using an automated artificial intelligence-based decision support system in youths with type 1 diabetes,Nimri 2020,Seconds or Less,General Public,90.48,Medical,"Pharmacology, Treatment Plan",CDSS Built-In,Human Evaluation,No,Non-Applicable,Autonomous,Yes,Clinical - Physiological,Time spent within target glucose range,Dosimetric Accuracy,Yes,FDA,"
”there were cases where physicians assigned to the AI-DSS arm decided to change the recommendations given by the AI-DSS. Because the percentage of these overrides was relatively small, their influence on the outcomes is likely to be negligible. That some physicians override the AI-DSS recommendations is not surprising. Insulin dose adjustments are not only influenced by science but also by different subjective attitudes—individual expert clinicians have been shown previously to provide different insulin dosing adjustments to the same given patient data18.”

“Moreover, the AI-DSS provides the ability to standardize care across health systems, ensuring that all people with type 1 diabetes would receive quality care, even if they live in remote areas or are managed by a care team with little experience with CGM interpretation or insulin pump therapy.”",No,Nataly Panczyk (2026-02-05 00:32:22)(Select): demonstration that automatic insulin dosing achieved better outcomes than physician directed insulin dosing;,"Software used was: AI-DSS DreaMed Diabetes Pro, which was already “tested extensively as part of an FDA regulatory submission”
They found the AI to be “statistically non-inferior” to the physician dosing",10.1038/s41591-020-1045-7,2020,
"Evaluating accountability, transparency, and bias in AI-assisted healthcare decision- making: a qualitative study of healthcare professionals' perspectives in the UK",Nouis 2025,N/A,N/A,90.48,Medical,Roadmap/Perspective,Non-Specific,Human Evaluation,Yes,Non-Specific,Non Applicable,Non Applicable,Interviews,Costs and benefits of AI use in clinical settings from the perspective of healthcare professionals.,Sparing lives,Yes,NHS,"“Participants reported notable gains in diagnostic efficiency and resource allocation, underscoring AI’s potential to reduce turnaround times for routine tests and enhance detection of abnormalities. Nevertheless, accountability surfaced as a pervasive concern: while clinicians felt ultimately liable for patient outcomes, they also relied on AI-generated insights, prompting questions about liability if systems malfunctioned. Transparency emerged as another major theme, with clinicians emphasizing the difficulty of trusting “black box” models that lack clear rationale or interpretability—particularly for rare or complex cases. Bias was repeatedly cited, especially when algorithms underperformed in minority patient groups or in identifying atypical presentations. These issues raised doubts about the fairness and reliability of AIassisted diagnoses.”
”From these efforts, approximately 40 participants were recruited, comprising clinicians (such as doctors, nurses, and biomedical scientists), AI developers, IT specialists, and healthcare administrators. Fifteen participants identified as experienced clinicians with a history of working closely with AI-based tools, ten were AI experts or IT professionals involved in designing or maintaining AI systems, ten were administrators responsible for managing AI related activities, and five were clinicians who were relatively new to AI use.”
”Specifically, participants asked whether more frequent audits should be mandatory, or whether there should be a standardized “explainability requirement” for certain high-risk applications.”",No,"Nataly Panczyk (2026-02-05 00:41:11)(Select): qualitative study from professionals in the field, something we could model our qualitative study off of. emphasizes need for transparency and model interpretability;","Bias, regulation, and interpretability were all raised as major causes for concern. This study evaluated interviews and focus groups of healthcare professionals. ",10.1186/s12910-025-01243-z,2025,United Kingdom
Large language model as clinical decision support system augments medication safety in 16 clinical specialties,Ong 2025,Minutes-Hours,Expert,80.95,Medical,Pharmacology,LLM,Human Evaluation,Yes,Rationale for Certain Models,Augmented Human Decision-Making,No,"Clinical - Condition Onset Details, Clinical - Physiological, Medical Records, Synthetic",Prescription errors,Medication Prescription,No,Non-Applicable,"“This study evaluated LLMs as alternative to rule-based alert systems, focusing on their ability to identify prescribing errors. This was designed as a prospective, cross-over, open-label study involving 91 error scenarios based on 40 clinical vignettes across 16 medical and surgical specialties. We developed and validated five LLM models using a retrieval-augmented generation framework. The best-performing model evaluated three different implementation strategies: LLM-based clinical decision support system (CDSS) alone, pharmacist plus LLM-based CDSS (co-pilot), and pharmacist alone. The co-pilot arm demonstrated the best performance with an accuracy of 61% (precision 0.57, recall 0.61, and F1 0.59). In detecting errors posing serious harm, the co-pilot mode increased accuracy by 1.5-fold over the pharmacist alone. Effective LLM integration for complex tasks like medication chart reviews can enhance healthcare professional performance, improving patient safety.”
”AI systems developed for healthcare applications often lack a clear explanation of how decisions are derived. Although explainable AI tools aim to reveal the reasoning behind an AI’s output, they often use technical explanations that remain confusing or are misleading to users.35 This lack of clarity can make it hard for clinicians to trust or effectively use these systems. In contrast, LLMs with conversational interfaces allow clinicians to ask questions and receive context-specific explanations in plain language. We believe that this interactive and adaptive communication can strengthen the partnership between clinicians and AI, making the technology more useful and trustworthy in clinical decision-making.”",No,"Nataly Panczyk (2026-02-05 01:37:21)(Select): one of few papers on LLMs, focused on pharmacy and efficacy of pharmacist and CDSS collaboration (better than either alone);","They claim that LLMs are more trustworthy because the physician can interact with them and therefore get ""explanations"" for their reasoning. However, this reasoning may be wrong, so that's not necessarily a reliable source of explanation. This evaluation was performed on all commercially available LLMs + one retrieval augmented generation LLM

Tested variants of Gemini, ChatGPT, and Claude",10.1016/j.xcrm.2025.102323,2025,Singapore
The need for and conceptual design of an AI model-based integrated flight advisory system,Ramos 2023,Seconds or Less,Expert,85.71,Aviation,Roadmap/Perspective,Non-Specific,Human Evaluation,No,Non-Applicable,Human in the Loop,No,Non Applicable,Proposals for an AI-based in-flight advisory system,Aircraft Accident,Yes,FAA,"“IFAS is conceptualized as a model-based, AI-based decision support for pilots flying Increasingly Autonomous aircraft. It differentiates itself from currently ‘‘single purpose’’ safety implemented systems such as TCAS or MCAS, because of its holistic reasoning approach. In this sense, IFAS’ reasoning is not dedicated to a single specific type of safety scenario for example, collision avoidance, stall avoidance –, or based only on specific sensing elements. Instead, through the fusion of all the available input information, IFAS provides a full situational awareness and assessment of the scenario conditions that the system and the pilot(s) are facing. It should be noted that IFAS needs to be validated during and following its development, which can be achieved via simulation and the application of a disciplined model-based design validation and verification (V&V) process.”",No,"Nataly Panczyk (2026-02-05 10:30:10)(Select): not an actual study but instead a proposed system, we have seen similar ones for healthcare and they’re pretty useful in describing requirements ;","Considers historical aircraft accident as argument basis 
the study notes that historically automation has reduced accident rates for aviation. However, in some cases when automation has failed, it has contributed to accidents. This report lays out a roadmap of possibilities for safer system integrated flight advisory systems that can reduce the risk of error. They combine artificial intelligence and integrated flight advisory system, they only propose a conceptual design.",10.1177/1748006X221083379,2023,Canada
Uncertainty-aware and explainable human error detection in the operation of nuclear power plants,Reddy 2024,Seconds or Less,Expert,85.71,Nuclear,"Accidents, Explanations","Bayesian Belief Networks, FNN, Gradient Boosting",Other Deep Learning,Yes,SHAP,Augmented Human Decision-Making,No,Mechanical Sensor,Classification of error types in nuclear power plants,Safe NPP Operation,No,Non-Applicable,"“In this study, we specifically focus on classifying error types in NPPs through the utilization of various machine learning models, including deep learning (neural networks), ensemble techniques (XGBoost combined with neural networks, leveraging XGBoost to superior accuracy in the implemented traditional machine learning models), and uncertainty-aware approaches [Bayesian neural networks (BNNs)]. Our primary objective is to identify models that excel in accuracy and are definitive about their predictions.”
”Surveillance data were manually collected by the research team via fluke handheld probes. Additionally, for each surveillance reading, multiple speed data streams (in units of rpm) were estimated for the pump.”",No,"Nataly Panczyk (2026-02-05 11:29:25)(Select): used SHAP to explain predictions of human error detection. not actually at the stage where real decision-making is being made, but this would naturally extend to such a system. slightly more willing to accept because nuclear and human operator focused;","Study conducted at UTK. The study notes that data were manually extracted from pdf format 
Combined SHAP with Bayesian belief networks to develop a model for human error analysis that is both explainable and has post-hoc explainability metrics.",10.1080/00295450.2024.2372217,2024,United States
Interpretable machine learning-based individual analysis of acute kidney injury in immune checkpoint inhibitor therapy,Sakuragi 2024,Days or More,Expert,95.24,Medical,Treatment Plan,Gradient Boosting,Human Evaluation,Yes,SHAP,Augmented Human Decision-Making,Yes,Clinical - Physiological,Acute kidney injury.,Survival,No,Non-Applicable,"“Our results suggest that the clustering method of individual predictive reasoning in machine  learning models can be applied to infer clinically critical factors for developing each episode  of AKI among patients with multiple AKI risk factors, such as immune checkpoint inhibitortreated patients.”
”One hundred and twelve patients (18.2%) had at least one AKI episode. They were clustered per the key feature, and their SHAP value patterns, and the nephrologists assessed  the clusters’ clinical relevance. Receiver operating characteristic analysis revealed that the  area under the curve was 0.880. Patients with AKI were categorized into four clusters with  significant prognostic differences (p = 0.010). The leading causes of AKI for each cluster such as hypovolemia, drug-related, and cancer cachexia, were all clinically interpretable,  which conventional approaches cannot obtain.”",No,"Nataly Panczyk (2026-02-05 12:04:38)(Select): highlights SHAP values in helping doctors determine features leading to acute kidney injury, but seems like it’s done retrospectively and is not commerically ready;",This study was able to predict underlying causes for acute kidney injury based on SHAP explanations of gradient boosting models. They did this by clustering subsets of patients that had similar causes and they found these results to be clinically interpretable.,10.1371/journal.pone.0298673,2024,Japan
Regulatory and legal considerations with artificial intelligence in dermatology,Shah 2025,N/A,N/A,100,Medical,Regulatory,Non Applicable,Non Applicable,Yes,Non-Specific,Non Applicable,Non Applicable,Non Applicable,Regulatory framework needed for safe medical AI for dermatological applications,Sparing lives,Yes,"FDA, Medicines and Healthcare Products Regulatory Agency, NHS","“In the absence of case law on the application of clinical negligence law to medical AI, a preemptive legal framework is required to address liability concerns about AI failures and to assure patient safety.”
”he line between the use of GAI used as an administrative tool and one as a medical device is not distinct and remains one to debate.”
”Despite the rising use of AI medical devices, most healthcare institutions lack the necessary digital infrastructure and personnel skill-set to support meaningful PMS monitoring.”
”In the United Kingdom, a clinician will be judged according to the “Bolam” principle which establishes if duty of care has been breached. The Bolam principle is a legal test that states that a doctor is not negligent if they follow a practice that is supported by a reasonable body of other medical professionals.”
”Explainability guidelines must be followed by manufacturers of AI-based medical devices to ensure that clinicians understand the reasoning being the AI decision. The EU MDR (Medical Device Regulation 2017/745) and FDA’s GMLP emphasize that AI should provide interpretable risk assessments rather than opaque decisions.”",No,"Nataly Panczyk (2026-02-05 12:15:42)(Select): this is a full regulatory analysis, but useful for medical applications and showing international frameworks;","You don't need the same regulatory review for an administrative device and a medical device, but sometimes the line between these two is fuzzy.
Review the EU AI Act. Canada also has an AI and data act.
This is not the first paper to emphasize the importance of post-market surveillance, but it is critical in this context.",10.1016/j.det.2025.05.011,2025,United Kingdom
The contribution of real-time artificial intelligence segmentation in maxillofacial trauma emergencies,Shhadeh 2025,Minutes-Hours,Expert,90.48,Medical,"Surgery, Treatment Plan",CDSS Built-In,Human Evaluation,No,Non-Applicable,Augmented Human Decision-Making,Yes,Clinical - Imaging,facial segmentation following trauma,Diagnostic,Yes,Non-Specific,"“This study evaluated the potential of real-time AI segmentation to improve diagnostic efficiency and support decision-making in maxillofacial trauma emergencies.”
”This study included 53 trauma patients presenting with moderate to severe maxillofacial injuries in an emergency setting, with a mean age of 37.47 ± 12.92 years, comprising 38 men and 15 women.”
”Ensuring data privacy, particularly the anonymization of CT data, is essential for regulatory compliance.”",No,Nataly Panczyk (2026-02-06 07:02:21)(Select): real-time decision-making assistance in emergency medicine. focused on scan segmentation to help assist clinicians;,"Tool used was: Materialise Mimics Viewer and Romexis Smart Tool
  • The authors report the speed up of using AI versus just human decision making and sometimes it's important to note that speed can equal safety in the medical context. 
I'd be interested if speed up was evaluated with consideration of technical difficulties during trauma treatment (how often does the system break and does this significantly impact treatment times?).",10.3390/diagnostics15080984,2025,Israel
